index,Title,Artist,Album,Length,Added,Removed,Track ID,Genres
0,"10,000 Hours (with Justin Bieber)","Dan + Shay, Justin Bieber","10,000 Hours (with Justin Bieber)",2:47,2019-10-06,2020-03-22,2wrJq5XKLnmhRXHIAf9xBa,"['contemporary country', 'country', 'pop', 'canadian pop', 'pop', 'post-teen pop']"
1,1000 Doves,Lady Gaga,Chromatica,3:35,2020-05-30,2020-06-01,62hTXlVQacy3pjBW4ntRPl,"['dance pop', 'pop', 'post-teen pop']"
2,120,Bad Bunny,EL Último Tour del Mundo,2:31,2020-11-28,2020-11-29,3KJ3opyV29269SXkPrc19l,"['latin', 'reggaeton', 'trap latino']"
3,2 Much,Justin Bieber,Justice,2:32,2021-03-20,2021-03-26,0oaY19dUwZimIgzn3ZZLZO,"['canadian pop', 'pop', 'post-teen pop']"
4,2016,Sam Hunt,SOUTHSIDE,3:55,2020-04-05,2020-04-06,2EC9IJj7g0mN1Q5VrZkiYY,"['contemporary country', 'country pop']"
5,21,Polo G,THE GOAT,2:43,2020-07-09,2020-09-28,3JKgcAa7r07ocVWcV8bS0H,['chicago rap']
6,223's (feat. 9lokknine),"YNW Melly, 9lokknine",223's (feat. 9lokknine),2:56,2019-09-05,2019-12-06,,"['melodic rap', 'trap', 'florida rap']"
8,24 (feat. Lil Baby),"Money Man, Lil Baby",Epidemic (Deluxe),3:02,2020-09-10,2020-11-07,7v96VvFLS0wSYT8kewNLRy,"['atl trap', 'memphis hip hop', 'rap', 'southern hip hop', 'trap', 'atl hip hop', 'atl trap', 'rap', 'trap']"
9,25/8,Bad Bunny,YHLQMDLG,4:03,2020-03-02,2020-03-05,4NqQaovM14WR2hNPMFxgjb,"['latin', 'reggaeton', 'trap latino']"
10,3 Headed Goat (feat. Lil Baby & Polo G),"Lil Durk, Lil Baby, Polo G",Just Cause Y'all Waited 2,2:49,2020-05-10,2020-05-12,2h4cmbyb6S7e8igDZIITJU,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'southern hip hop', 'trap', 'atl hip hop', 'atl trap', 'rap', 'trap', 'chicago rap']"
11,34+35,Ariana Grande,Positions,2:53,2020-11-03,2021-05-03,6Im9k8u9iIzKMrmV7BWtlF,"['dance pop', 'pop', 'post-teen pop']"
