Title,Artist,Album,Length,Added,Removed
"10,000 Hours (with Justin Bieber)","Dan + Shay, Justin Bieber","10,000 Hours (with Justin Bieber)",2:47,10/6/19,3/22/20
1000 Doves,Lady Gaga,Chromatica,3:35,5/30/20,6/1/20
120,Bad Bunny,EL Último Tour del Mundo,2:31,11/28/20,11/29/20
2 Much,Justin Bieber,Justice,2:32,3/20/21,3/26/21
2016,Sam Hunt,SOUTHSIDE,3:55,4/5/20,4/6/20
21,Polo G,THE GOAT,2:43,7/9/20,9/28/20
223's (feat. 9lokknine),"YNW Melly, 9lokknine",223's (feat. 9lokknine),2:56,9/5/19,12/6/19
223's (feat. 9lokknine),"YNW Melly, 9lokknine",Melly vs. Melvin,2:56,12/6/19,1/29/20
24 (feat. Lil Baby),"Money Man, Lil Baby",Epidemic (Deluxe),3:02,9/10/20,11/7/20
25/8,Bad Bunny,YHLQMDLG,4:03,3/2/20,3/5/20
3 Headed Goat (feat. Lil Baby & Polo G),"Lil Durk, Lil Baby, Polo G",Just Cause Y'all Waited 2,2:49,5/10/20,5/12/20
34+35,Ariana Grande,Positions,2:53,11/3/20,5/3/21
"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix","Ariana Grande, Doja Cat, Megan Thee Stallion",34+35 (Remix),3:02,1/17/21,1/25/21
4 Da Gang (with Roddy Ricch),"42 Dugg, Roddy Ricch",4 Da Gang (with Roddy Ricch),2:35,4/16/21,5/9/21
4 Da Kidz,Kid Cudi,Man On The Moon III: The Chosen,3:04,12/13/20,12/13/20
44 BullDog,Pop Smoke,Shoot For The Stars Aim For The Moon,2:30,7/5/20,7/9/20
6 Kiss,"Trippie Redd, Juice WRLD, YNW Melly",A Love Letter To You 4,3:19,11/24/19,12/8/19
7 rings,Ariana Grande,"thank u, next",2:58,12/7/19,12/10/19
7 Summers,Morgan Wallen,7 Summers,3:30,8/16/20,11/23/20
7 Summers,Morgan Wallen,Dangerous: The Double Album,3:30,1/10/21,2/11/21
865,Morgan Wallen,Dangerous: The Double Album,3:10,1/10/21,2/9/21
911,Lady Gaga,Chromatica,2:52,5/30/20,6/2/20
911,Sech,911,3:35,4/9/21,4/10/21
@ MEH,Playboi Carti,@ MEH,2:46,4/18/20,4/29/20
A Holly Jolly Christmas - Single Version,Burl Ives,Have A Holly Jolly Christmas,2:15,12/1/19,12/28/20
A Thousand Bad Times,Post Malone,Hollywood's Bleeding,3:41,9/8/19,9/29/19
A Tu Merced,Bad Bunny,YHLQMDLG,2:55,3/2/20,3/3/20
Adore You,Harry Styles,Adore You,3:27,12/8/19,12/15/19
Adore You,Harry Styles,Fine Line,3:27,12/15/19,10/28/20
After Hours,The Weeknd,After Hours,6:01,2/21/20,4/18/20
After Party,Don Toliver,Heaven Or Hell,2:47,4/20/20,10/21/20
Afterglow,Ed Sheeran,Afterglow,3:05,12/28/20,1/10/21
Aim For The Moon (feat. Quavo),"Pop Smoke, Quavo",Shoot For The Stars Aim For The Moon,2:55,7/5/20,7/9/20
Alfred - Interlude,Eminem,Music To Be Murdered By,30,1/19/20,1/22/20
Alice,Lady Gaga,Chromatica,2:57,5/30/20,6/2/20
All Around Me,Justin Bieber,Changes,2:16,2/16/20,2/18/20
All Bad (feat. Lil Uzi Vert),"Future, Lil Uzi Vert",High Off Life,3:27,5/17/20,5/22/20
All Girls Are The Same,Juice WRLD,Goodbye & Good Riddance,2:45,12/10/19,4/28/21
"All I Want - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,"All I Want (From ""High School Musical: The Musical: The Series"")",2:57,1/12/21,1/17/21
All I Want for Christmas Is You,Mariah Carey,Merry Christmas,4:01,11/19/19,12/28/20
All In,Lil Baby,All In,2:36,4/26/20,4/28/20
Allergic,Post Malone,Hollywood's Bleeding,2:36,9/8/19,9/23/19
Alone Again,The Weeknd,After Hours,4:10,3/22/20,3/29/20
Alright,Kendrick Lamar,Alright,3:14,6/4/20,6/5/20
ALWAYS DO,The Kid LAROI,F*CK LOVE (SAVAGE),2:31,11/7/20,11/12/20
Always Forever,Bryson Tiller,A N N I V E R S A R Y,2:50,10/4/20,10/5/20
Amarillo,J Balvin,Colores,2:37,3/22/20,3/23/20
Amazing Grace,"Andrew Andraos, Esprit Ange Andraos",Amazing Grace,4:04,12/18/20,12/22/20
AMAZING GRACE,DaBaby,BLAME IT ON BABY,1:28,4/18/20,4/20/20
Angels Like You,Miley Cyrus,Plastic Hearts,3:16,11/29/20,12/3/20
Another Day,Kid Cudi,Man On The Moon III: The Chosen,3:19,12/13/20,12/17/20
ANTES QUE SE ACABE,Bad Bunny,EL Último Tour del Mundo,3:41,11/28/20,11/29/20
Anxiety - Intro,Juice WRLD,Legends Never Die,1:10,7/12/20,7/14/20
Anxiety,Juice WRLD,Legends Never Die,1:10,7/14/20,7/18/20
